,Section,Status,Error code,Reference,Para.DynPar.r2,Para.DynPar.v2,Rocket.Aero.Coefs.delta
0,,,0,0,[38.85438357  0.         -1.        ],[ 6.64112498e-07  0.00000000e+00 -1.05072900e+01],-9.65629259951926e-19
1,,,0,1,[35.1966846  10.29246076 -1.        ],[ 4.94499247e-07  3.82363949e-07 -1.05072900e+01],0.006507796420236064
2,,,0,2,[ 35.1966846  -10.29246076  -1.        ],[ 4.94499260e-07 -3.82363956e-07 -1.05072900e+01],-0.006507796420236066
3,,,0,3,[38.0054264  -5.21254003 -1.        ],[ 6.24136185e-07 -1.99470288e-07 -1.05072900e+01],-0.0030743834306612185
4,,,0,4,[29.22177887 14.67347325 -1.        ],[ 2.33403104e-07  5.03304983e-07 -1.05072900e+01],0.01109911540902649
5,,,0,5,[38.0054264   5.21254003 -1.        ],[ 6.24136187e-07  1.99470286e-07 -1.05072900e+01],0.0030743834306612167
6,,,0,6,[ 29.22177887 -14.67347325  -1.        ],[ 2.33403105e-07 -5.03304983e-07 -1.05072900e+01],-0.011099115409026493
7,,,0,7,[ 32.75853014 -12.65810109  -1.        ],[ 3.85397573e-07 -4.56720241e-07 -1.05072900e+01],-0.008559609985666057
8,,,0,8,[36.8871817   7.78433786 -1.        ],[ 5.72032905e-07  2.94521263e-07 -1.05072900e+01],0.004715946206184996
9,,,0,9,[23.73135866 15.59326117 -1.        ],[ 1.57129697e-08  4.77334033e-07 -1.05072900e+01],0.014801921280265145
10,,,0,10,[38.64528053 -2.61187538 -1.        ],[ 6.54235715e-07 -1.00578665e-07 -1.05072900e+01],-0.0015178079576054933
11,,,0,11,[36.8871817  -7.78433786 -1.        ],[ 5.72032877e-07 -2.94521263e-07 -1.05072900e+01],-0.004715946206184997
12,,,0,12,[32.75853014 12.65810109 -1.        ],[ 3.85397574e-07  4.56720237e-07 -1.05072900e+01],0.008559609985666053
13,,,0,13,[38.64528053  2.61187538 -1.        ],[ 6.54235707e-07  1.00578664e-07 -1.05072900e+01],0.0015178079576054916
14,,,0,14,[ 23.73135866 -15.59326117  -1.        ],[ 1.57129712e-08 -4.77334023e-07 -1.05072900e+01],-0.014801921280265149
15,,,0,15,[ 26.8175956  -15.37411222  -1.        ],[ 1.34941472e-07 -5.05291502e-07 -1.05072900e+01],-0.012716793097019714
16,,,0,16,[38.38122378  3.91454978 -1.        ],[ 6.41790515e-07  1.50353306e-07 -1.05072900e+01],0.002288638244708044
17,,,0,17,[31.16177304 13.73324326 -1.        ],[ 3.15803277e-07  4.85013488e-07 -1.05072900e+01],0.009744863292593041
18,,,0,18,[37.51049303 -6.5035811  -1.        ],[ 6.00994950e-07 -2.47641114e-07 -1.05072900e+01],-0.003881099059517859
19,,,0,19,[38.80183464 -1.30656561 -1.        ],[ 6.61632922e-07 -5.03887505e-08 -1.05072900e+01],-0.000756560079287007
20,,,0,20,[19.49701753 14.56694501 -1.        ],[-1.28975131e-07  3.79856388e-07 -1.05072900e+01],0.0179725188931962
21,,,0,21,[36.12181342  9.04980428 -1.        ],[ 5.36741578e-07  3.39639502e-07 -1.05072900e+01],0.005587741268528728
22,,,0,22,[ 34.08706678 -11.50113846  -1.        ],[ 4.44436221e-07 -4.21823540e-07 -1.05072900e+01],-0.007491284717555696
23,,,0,23,[ 31.16177304 -13.73324326  -1.        ],[ 3.15803278e-07 -4.85013493e-07 -1.05072900e+01],-0.009744863292593045
24,,,0,24,[37.51049303  6.5035811  -1.        ],[ 6.00994957e-07  2.47641114e-07 -1.05072900e+01],0.003881099059517857
25,,,0,25,[26.8175956  15.37411222 -1.        ],[ 1.34941489e-07  5.05291501e-07 -1.05072900e+01],0.01271679309701971
26,,,0,26,[38.38122378 -3.91454978 -1.        ],[ 6.41790512e-07 -1.50353306e-07 -1.05072900e+01],-0.002288638244708046
27,,,0,27,[36.12181341 -9.04980428 -1.        ],[ 5.36741558e-07 -3.39639508e-07 -1.05072900e+01],-0.00558774126852873
28,,,0,28,[34.08706678 11.50113846 -1.        ],[ 4.44436221e-07  4.21823543e-07 -1.05072900e+01],0.0074912847175556945
29,,,0,29,[38.80183464  1.30656561 -1.        ],[ 6.61632942e-07  5.03887507e-08 -1.05072900e+01],0.000756560079287005
30,,,0,30,[ 19.49701753 -14.56694501  -1.        ],[-1.28975137e-07 -3.79856386e-07 -1.05072900e+01],-0.0179725188931962
31,,,0,31,[ 21.8060856  -15.33684146  -1.        ],[-5.34469909e-08 -4.42295958e-07 -1.05072900e+01],-0.016170259852319104
32,,,0,32,[38.73673329  1.9595074  -1.        ],[ 6.58553097e-07  7.55245480e-08 -1.05072900e+01],0.0011362995034019103
33,,,0,33,[33.45285963 12.08749714 -1.        ],[ 4.16129646e-07  4.39942841e-07 -1.05072900e+01],0.008013162125267245
34,,,0,34,[36.52324421 -8.41934685 -1.        ],[ 5.55214946e-07 -3.17334119e-07 -1.05072900e+01],-0.005146589367424821
35,,,0,35,[38.52697731 -3.26366251 -1.        ],[ 6.48654965e-07 -1.25533606e-07 -1.05072900e+01],-0.0019017052739933307
